50
49
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
29.7092 18.46405 10.27109 x 19.07252 x x x 13.99719 35.22764 31.05179 x x x x 27.49712 x 4.17819 19.20658 36.53497 x 7.45895 27.87415 20.86536 25.85828 24.41327 x 11.35236 x 14.59079 13.0806 10.67186 x 12.25533 27.6665 x x x 14.45112 x x x x 35.12689 x x x 35.33089 x x 
50.60408 29.43049 x x x 32.81362 35.73685 35.80367 20.91306 x 43.74495 x x 27.6152 47.19558 48.74103 42.93527 25.02286 26.15837 x x 16.37128 x x 41.63996 40.35201 x 20.66448 x 35.79026 24.05821 31.95568 x 16.83571 47.01017 57.85697 x 46.12141 x 33.53467 35.69872 22.42661 30.74746 56.29154 x 24.11419 41.7168 x x 42.68427 
25.6024 14.8655 7.94578 x 12.99205 16.29966 x 8.48896 x 30.42118 x x 27.6152 x x x 26.18848 x x 29.2698 x 14.73445 23.29455 x x 25.61048 19.51361 11.67908 29.11067 x x 6.90699 x 19.34165 x x x x x 16.68288 x 5.45898 x x 6.96658 7.93887 x x x x 
x x 37.27152 x 32.85642 15.53725 14.77191 x x x x x 47.19558 x x x x 37.29781 x x x 42.69062 x x x x x 27.85992 x x 49.02592 x 38.39128 x x x 39.10153 x 25.54025 46.54405 26.06111 x x x x 26.55195 x 46.49085 32.4391 x 
x 29.97271 18.34651 24.98711 8.45684 28.83202 25.52146 x x x x 27.49712 48.74103 x x x x 24.23872 x 16.07088 x x x 13.86286 27.68903 x 22.88691 x 26.89181 x 32.60485 17.15459 34.07625 37.07527 x x x x 17.11303 22.90583 x x x x x 27.64389 x x x 7.70414 
16.89755 x x 38.88399 x x 40.52291 x x x x x 42.93527 26.18848 x x x 22.00552 43.51705 x x 26.96683 x 11.62484 3.13321 x x 36.68215 x 22.14043 19.1322 19.72094 x 26.35452 x x 20.79457 x x x x 26.71328 47.77154 x x x x x x x 
25.69549 x 6.30699 20.51534 x x x 11.83565 x 36.78783 31.89325 4.17819 25.02286 x 37.29781 24.23872 22.00552 x 22.10558 x 25.16865 9.69971 x x 22.1973 x 26.17262 x x x 11.92788 x x x x 33.09782 x 32.47461 x x x 4.71581 x x 9.57883 12.46296 25.26152 x 14.2225 x 
41.55909 x x 10.76149 x x 11.63691 23.85127 x 18.56928 x 19.20658 26.15837 x x x 43.51705 22.10558 x 34.80321 40.7964 x x 35.24194 x x 17.86243 8.19259 46.43549 24.2263 32.03671 x x 28.91503 26.77766 43.41947 23.72434 20.61722 17.66426 33.67418 19.57412 17.59653 x x 12.68165 9.71915 18.36758 x x x 
26.21131 29.87612 30.29164 24.07503 20.2406 27.2128 23.25792 23.17363 x x 22.4574 36.53497 x 29.2698 x 16.07088 x x 34.80321 x x 43.89634 x x x 42.70495 17.49041 x x 23.51164 x x 42.24814 48.13041 x 17.62309 35.9531 x x x x 34.71614 34.26573 x x 32.045 x 23.96144 40.04994 x 
0.82647 x 18.89221 32.53166 x 36.28683 x 17.02687 x x 39.40694 x x x x x x 25.16865 40.7964 x x x x 9.27283 20.24373 19.94514 x x x 16.71049 x x x 35.96576 x x 25.17361 37.59091 23.24771 x x x x 6.62361 31.85989 x x x 38.08197 x 
x 24.36306 15.708 x 25.67628 x x x x x x 7.45895 16.37128 14.73445 42.69062 x 26.96683 9.69971 x 43.89634 x x 33.97367 x 26.04837 x 33.3303 15.71754 29.48233 x x x x x 35.07381 x 9.06465 39.1169 x x 23.26649 x 29.16818 x 12.47335 16.13874 32.69826 x x x 
x x 30.59495 9.70199 x x x x x x 6.8287 27.87415 x 23.29455 x x x x x x x 33.97367 x x 49.85219 x 11.01046 x x x 40.91529 x x 39.13959 x 40.85917 x x 19.5461 x x x x 44.21475 x x x 44.39627 23.28107 x 
x x 10.77932 28.81589 x 32.23085 30.22611 x x x 37.82197 20.86536 x x x 13.86286 11.62484 x 35.24194 x 9.27283 x x x x x 30.42817 x x 11.62652 20.8031 11.23718 x x x x 16.42199 36.78742 x x x x x x 24.6586 x x x x x 
x x 19.28556 40.18444 24.58392 x 41.90812 x x x 50.39062 25.85828 41.63996 x x 27.68903 3.13321 22.1973 x x 20.24373 26.04837 49.85219 x x x x x x 23.86363 x x x 24.87071 x 31.9964 20.8043 x x x x 26.90152 x x x 34.39024 x x 35.93172 20.83491 
x x x x 23.54774 41.70569 x x x x x 24.41327 40.35201 25.61048 x x x x x 42.70495 19.94514 x x x x x x x x x x x x x x 31.68394 x x x 9.00757 28.86036 x x 25.99668 30.32638 x x 26.11856 34.48999 x 
x x x 7.83925 19.67089 x x 18.91557 x 14.89859 x x x 19.51361 x 22.88691 x 26.17262 17.86243 17.49041 x 33.3303 11.01046 30.42817 x x x 21.14621 44.25774 19.44099 x 23.03952 x x 11.14474 x x 6.55493 x 34.09732 x x 16.78724 33.81859 21.34615 18.09911 x x x x 
37.22364 x 19.13121 x 23.96386 12.56731 x 19.68303 23.85974 x 23.64917 11.35236 20.66448 11.67908 27.85992 x 36.68215 x 8.19259 x x 15.71754 x x x x 21.14621 x x 19.9217 x x x 20.7783 x 41.22879 x 25.69744 15.09763 26.55419 x x 13.45258 x x x x x x 28.00649 
x x 21.20539 x 24.97065 44.84136 x x x x 51.52166 x x 29.11067 x 26.89181 x x 46.43549 x x 29.48233 x x x x 44.25774 x x 24.93367 21.29229 x 33.52989 x x x x x x x 31.2389 x 50.69336 x x x x x x x 
x 20.48548 x 17.18951 x x x 0.52599 x 33.13216 26.5998 14.59079 35.79026 x x x 22.14043 x 24.2263 23.51164 16.71049 x x 11.62652 23.86363 x 19.44099 19.9217 24.93367 x x 5.00646 21.13338 x x x 12.684 x x x 6.3063 13.37306 x 21.69577 x x x x x 8.12194 
x x 15.04691 x x x 34.31043 22.18465 x 48.2516 43.71949 13.0806 24.05821 x 49.02592 32.60485 19.1322 11.92788 32.03671 x x x 40.91529 20.8031 x x x x 21.29229 x x 16.83564 x 7.26544 x x x x x x 25.97594 15.0501 37.17688 x x 23.11604 x x x x 
x x x 19.28269 9.00491 22.22732 21.0303 5.34908 x 35.73843 x 10.67186 31.95568 6.90699 x 17.15459 19.72094 x x x x x x 11.23718 x x 23.03952 x x 5.00646 16.83564 x 17.31563 x 20.34481 x x x 9.94259 x x x 28.18666 x x x x x x x 
x x 16.82085 22.65451 25.62927 22.87845 24.67057 x x 36.7509 33.80273 x x x 38.39128 34.07625 x x x 42.24814 x x x x x x x x 33.52989 21.13338 x 17.31563 x x x x x 35.41326 x x x 7.82291 x x x x x x 7.07897 x 
36.30227 x 18.74728 x x x 33.60492 x x x 42.96801 12.25533 16.83571 19.34165 x 37.07527 26.35452 x 28.91503 48.13041 35.96576 x 39.13959 x 24.87071 x x 20.7783 x x 7.26544 x x x x x 12.32271 x x x x x x x x x x x x x 
23.29737 21.82875 22.22256 x 13.12319 x x x x x 18.01934 27.6665 47.01017 x x x x x 26.77766 x x 35.07381 x x x x 11.14474 x x x x 20.34481 x x x x x x x x x x x x x x x x x x 
12.03306 38.72032 26.97205 x x x 33.67698 x x x 36.92866 x 57.85697 x x x x 33.09782 43.41947 17.62309 x x 40.85917 x 31.9964 31.68394 x 41.22879 x x x x x x x x x x x x x x x x 37.42418 x x x x x 
25.65394 22.31221 6.64998 22.3195 16.85439 x x 12.92781 x x x x x x 39.10153 x 20.79457 x 23.72434 35.9531 25.17361 9.06465 x 16.42199 20.8043 x x x x 12.684 x x x 12.32271 x x x 34.24466 15.11574 x 15.95052 x x x x x x x 15.27495 x 
38.41089 16.6993 31.48548 12.76258 25.93695 x 10.74603 x 45.99835 10.46222 3.52575 x 46.12141 x x x x 32.47461 20.61722 x 37.59091 39.1169 x 36.78742 x x 6.55493 25.69744 x x x x 35.41326 x x x 34.24466 x x x x 29.94559 x x x x x x x x 
x 13.49634 11.80956 9.88925 9.85905 x x x x 26.0167 x 14.45112 x x 25.54025 17.11303 x x 17.66426 x 23.24771 x 19.5461 x x x x 15.09763 x x x 9.94259 x x x x 15.11574 x x 21.04178 x x x x x x x x x x 
19.23607 x 9.27759 x x 32.89619 x 15.53083 x 46.72056 x x 33.53467 16.68288 46.54405 22.90583 x x 33.67418 x x x x x x 9.00757 34.09732 26.55419 x x x x x x x x x x 21.04178 x x 16.52926 x x x x x x x 15.20904 
22.31805 15.26431 11.82768 11.18085 x x 12.44855 x x 26.84234 20.31013 x 35.69872 x 26.06111 x x x 19.57412 x x 23.26649 x x x 28.86036 x x 31.2389 6.3063 25.97594 x x x x x 15.95052 x x x x x x x x x x x x 13.1555 
29.25828 16.53681 x 17.43896 17.869 18.82608 19.5078 13.37734 x x x x 22.42661 5.45898 x x 26.71328 4.71581 17.59653 34.71614 x x x x 26.90152 x x x x 13.37306 15.0501 x 7.82291 x x x x 29.94559 x 16.52926 x x x x x x x x 9.73885 x 
x 6.94358 x 11.4479 30.14019 x x x x x 14.63188 x 30.74746 x x x 47.77154 x x 34.26573 x 29.16818 x x x x 16.78724 13.45258 50.69336 x 37.17688 28.18666 x x x x x x x x x x x x x x x x x x 
6.48473 x 24.96397 x x x 36.48041 x x 48.65687 x 35.12689 56.29154 x x x x x x x 6.62361 x 44.21475 x x 25.99668 33.81859 x x 21.69577 x x x x x x x x x x x x x x x x 32.35268 x x x 
x 12.06047 13.98842 x x x 16.10108 15.38365 x x 25.37531 x x 6.96658 x x x 9.57883 12.68165 x 31.85989 12.47335 x 24.6586 x 30.32638 21.34615 x x x x x x x x 37.42418 x x x x x x x x x x x x x x 
33.17094 x 15.78179 x x 11.03614 x 15.50073 x x 21.76104 x 24.11419 7.93887 26.55195 27.64389 x 12.46296 9.71915 32.045 x 16.13874 x x 34.39024 x 18.09911 x x x 23.11604 x x x x x x x x x x x x x x x x x x x 
31.22547 x 23.77105 7.94175 x x x x x x x x 41.7168 x x x x 25.26152 18.36758 x x 32.69826 x x x x x x x x x x x x x x x x x x x x x 32.35268 x x x x 25.57923 x 
6.64375 x 25.1659 36.05274 x 39.89167 x x x x 41.29327 35.33089 x x 46.49085 x x x x 23.96144 x x 44.39627 x x 26.11856 x x x x x x x x x x x x x x x x x x x x x x x x 
38.71808 x x x 26.28996 x x x x x x x x x 32.4391 x x 14.2225 x 40.04994 38.08197 x 23.28107 x 35.93172 34.48999 x x x x x x 7.07897 x x x 15.27495 x x x x 9.73885 x x x x 25.57923 x x x 
9.34534 28.25059 x 24.30675 x x x x x x x x 42.68427 x x 7.70414 x x x x x x x x 20.83491 x x 28.00649 x 8.12194 x x x x x x x x x 15.20904 13.1555 x x x x x x x x x 
