200
5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 
x 41.73254 60.6925 119.85781 103.86775 x 165.79979 38.93296 x 117.72363 73.74066 152.04637 101.58466 62.64192 68.66551 x x x 142.10031 x 36.17331 142.47016 81.82058 77.38863 26.54329 173.82747 107.43874 112.79106 131.87988 20.1738 149.9356 x 173.42955 103.86645 37.54984 209.30693 103.19903 108.70567 x 135.92214 x 148.72561 14.62824 47.83629 x 51.33134 x 139.81931 x 198.12041 115.6955 39.80817 x 113.6209 85.76581 x 88.85937 179.62256 144.63672 x 153.91348 x x x x 173.06356 129.32255 x 96.55612 x x x 175.41649 113.76363 x 37.53978 x 179.60526 x x 177.207 x 125.85029 x x x 82.5333 116.34116 x x 19.78285 188.46665 x 6.76661 x 124.31396 x 186.90626 67.42145 x 175.74807 x x 154.55069 127.6095 98.23691 x x 144.10728 x 155.82354 171.35375 59.01957 x x x 78.62032 113.57436 x 120.52405 203.20838 x x x 90.48131 x 63.50847 131.31885 x 53.44849 95.82041 168.63223 142.36996 178.03874 133.43809 67.21646 128.11016 177.59836 82.17353 x x 130.84541 160.01897 x x 123.14521 x 193.12008 118.6981 x x 101.39774 145.70321 157.16877 x x 43.18902 131.30813 67.16041 x 134.94076 65.23691 x 210.7045 173.35993 x x x 140.30505 x x 145.34284 x x 28.00226 x 47.19002 8.4941 x 153.69983 27.75748 x 140.57978 x 132.67408 x x x 94.19697 x x x x 29.54459 73.95106 x x x x x 
x 134.60932 96.71389 5.04751 x x 112.8544 116.31437 117.72363 x x 128.76252 162.50251 62.37006 85.04469 120.31214 x 13.29171 179.95329 60.12969 118.29902 130.73248 47.59965 x x 122.18771 121.02078 34.50007 16.7195 97.56106 x 53.57771 195.65824 x 93.50223 113.42479 x 10.96153 127.0316 18.90207 54.99648 x x 69.89072 161.31419 110.98011 20.72872 124.39782 12.01595 127.88597 x 110.46475 110.92371 133.8408 119.95551 x 126.4009 x x 161.99649 163.78517 x 175.14388 100.13435 58.05426 101.839 17.54524 x 33.22461 127.66832 150.89479 x x 48.66941 121.42666 86.10666 89.55364 151.85297 174.43575 89.61435 168.08875 106.02193 43.43044 128.04226 62.68602 x 55.63977 119.6121 144.61277 181.9108 111.27733 123.50622 90.22698 113.7393 154.4174 58.45075 116.2541 x 158.43269 12.89063 74.87428 93.26687 105.86704 46.94411 x 96.91444 101.85961 56.85051 x x 68.57634 168.12403 144.32014 186.87272 123.41725 75.13841 75.55446 x 30.27459 x x 50.55924 x x x 55.96022 156.54292 21.41336 147.37501 84.56751 161.20498 x 44.03235 184.20906 19.1619 91.85143 171.49059 x 102.15307 131.27472 37.59393 101.23046 60.56947 35.95183 44.12219 x x 96.7925 x 43.87989 x 150.09973 x 63.55985 166.25766 x x 46.033 138.06836 150.19719 65.19509 129.2324 106.74411 117.86362 110.53197 x x 112.17818 127.72584 19.57593 75.22708 x 67.93174 x x 154.24359 x 115.88882 87.78171 62.93296 x 44.88332 x 68.61943 175.73099 x x 108.69623 59.13578 x 130.25976 57.77961 78.38 122.6251 63.0531 164.7845 138.33034 111.28313 96.63521 187.4456 
138.04317 x x x x 145.58339 99.50652 37.81402 73.74066 x x 79.44794 56.26447 90.00019 x 21.80716 112.84237 116.22568 81.095 x x 68.95494 x 49.84342 91.18188 106.13221 33.88737 x 122.93725 66.27864 x x 106.79831 122.05616 40.58815 x x x 45.11814 x 58.94583 144.77432 x x 63.34517 x 85.81357 66.80409 109.45841 134.56346 42.06703 34.61448 47.69913 x x 84.09822 x x 116.55046 55.75561 82.40323 x x x x 113.07779 x 139.03254 73.27619 x 96.19785 x 101.68757 131.9951 15.17947 48.21229 x x x 35.89486 103.68972 x 137.56568 79.08041 x x x 42.63585 105.0751 91.61613 54.0181 123.83061 105.18513 67.08602 x 144.88479 92.65613 125.38185 x 97.30819 x 94.09459 x 121.31058 x x 91.94162 141.72091 x 109.96875 x 98.2528 x x 160.53639 x 31.09511 x 95.23313 x 151.69925 x x 154.65554 x x 62.67476 x 105.72624 31.39461 x x x x x x 69.59489 107.57799 10.23277 x 73.47227 62.47967 x 71.16941 99.25961 105.82687 x 143.86196 131.19896 116.52797 x 44.89363 x 112.95291 x 53.51306 x 91.23568 x x x x 150.43443 x x 73.95093 66.10177 x x x x 140.74753 107.98546 94.71501 45.84519 94.5637 x 80.25751 62.29747 x 83.60486 x x 103.14941 x 52.08912 x 75.24154 x 71.32005 28.92752 x x x x 80.65499 82.97417 x 101.82831 105.33706 
x 128.96905 91.35467 124.81688 65.49741 89.8579 x 117.24094 152.04637 128.76252 79.44794 x 99.00334 x 85.19317 64.06903 x 141.99554 81.33676 181.56193 120.87124 14.3352 150.94035 94.69371 170.62981 37.26831 49.44301 159.42291 x 140.98996 88.25773 96.2557 78.17635 x x 110.32699 49.0029 132.75839 123.75756 x 77.42098 162.13131 143.23752 130.41812 68.80465 103.15856 115.52991 x 124.04007 69.54185 38.41145 113.9438 31.99311 52.13147 x 163.30736 73.61763 56.88722 115.99664 98.85123 46.64164 76.94405 55.42234 x 71.52273 61.21213 x x 102.17735 18.43162 x 73.85092 29.79923 172.43226 x 120.18404 54.97073 x 46.32105 53.13766 39.57583 104.50918 171.29982 158.19939 x x 90.53625 x 25.62861 69.11884 132.68801 58.47623 62.10363 145.28752 27.97589 184.3742 26.48356 66.44115 131.58712 127.50567 104.64356 163.96967 25.43062 x 98.92993 54.15889 164.73896 130.84603 71.97905 x x 41.27266 122.0215 64.48146 107.37849 150.99806 79.48299 43.2964 101.53606 33.01574 x 93.57737 165.20142 184.47154 x x x 148.89049 x x 103.5723 50.12695 98.85268 59.28068 122.3838 85.14911 83.02836 32.15293 70.11765 134.7733 92.75929 28.20358 x 108.24386 147.72602 122.46223 167.19238 x 167.17751 160.64714 99.38952 83.26144 35.98402 90.93337 92.42073 x 171.30666 87.21971 106.63683 x x 100.49791 104.85111 106.30363 x x x 67.8712 14.43608 148.23172 78.22455 x 165.65669 x 124.10186 25.57779 158.61032 157.72386 x 87.19462 x 92.01641 195.03745 162.15784 84.52004 125.72563 161.6002 151.79741 78.21489 79.53878 100.96674 x 144.23696 129.76649 x 154.77952 9.98257 x 53.35242 65.21751 
194.24034 60.81757 67.82397 161.30522 103.39223 x x 65.34014 101.58466 162.50251 56.26447 99.00334 x 140.05263 x x 153.7741 x 44.01165 189.91314 66.89257 x 153.90819 106.06377 105.39126 134.88005 55.2867 178.23914 x x x 161.99133 78.15162 175.96057 x x x x 61.88816 x 113.13114 201.03791 x 115.86476 x x 142.07555 87.13579 x x 66.21023 x x x x x x x x x x 47.16967 76.7762 74.77814 116.20288 151.50464 179.62539 173.53471 x x x 33.5251 x 186.16656 x 94.21571 x x 100.79543 82.35509 101.76562 65.17014 x 101.20481 213.49353 x x 65.05861 121.12049 65.41449 x x x x x x 121.97476 161.00066 44.28491 x x x x 174.22718 149.16901 x 129.60697 x x 162.99496 155.93771 x x x x x x x x x 194.49218 x 120.35417 210.16464 91.32336 x x x x x 6.8581 141.88461 x x 168.17416 71.10949 x 131.15555 61.25874 70.27315 128.87259 x 169.43159 127.36485 152.61734 x x 188.60195 x x x x 118.50749 x x 54.25875 x 143.67813 x x x x x x x x x 52.11706 x x x 197.0106 157.19518 x x x x x x x x 150.23356 x x 33.69111 x x 108.35182 x 124.71787 x x x x x x x x x 85.29234 
76.75047 92.87062 x 65.95292 84.6429 x 147.70386 78.22245 62.64192 62.37006 90.00019 x 140.05263 x 70.80078 110.91253 x 61.14967 171.02584 51.63503 78.43293 144.31564 19.24668 53.91893 x 157.05024 119.02137 50.2913 73.46251 44.46471 110.48708 x 195.93872 41.4227 55.93198 170.12818 107.66831 51.76891 86.70477 x 75.39931 87.60334 49.65498 24.20194 153.33515 80.56799 51.23562 139.34292 73.78246 172.8692 x 73.85976 120.42227 x x 92.13433 x 192.4882 94.79086 x 168.59059 170.86122 x 105.19835 84.15942 145.85753 69.95729 172.50008 56.11981 139.62629 170.19641 116.45642 x 51.56468 102.56261 46.05531 95.02914 175.94775 188.07854 96.47197 183.32478 74.91535 63.21454 x 80.58129 107.90748 58.37722 x 170.95866 180.83959 64.35504 165.54944 x 60.91515 167.74222 62.93793 146.85908 160.0544 119.98845 49.97278 132.63549 30.99959 123.1532 x x x x 119.11362 x 27.04167 118.9235 180.23319 x 192.19838 178.59742 13.64579 70.8152 x 81.30797 124.81541 164.46849 56.21114 54.55203 80.55939 x x x x x 58.72121 136.30216 x 98.64111 x 80.8283 75.23101 159.02954 164.79257 92.27995 x 67.96436 x 116.99352 46.33838 20.89359 x 94.86129 153.22658 56.05748 36.13636 111.78462 x 127.92025 117.0656 147.82243 x x 92.5336 x 149.26221 104.55762 101.01273 x x 150.61768 87.78625 x 101.63201 x x x 84.5285 18.08427 x 63.17543 171.17481 20.58343 58.30321 x 114.80884 x 95.2871 x 13.73373 163.75354 46.46224 x 52.17066 71.61311 x 101.88877 10.57059 x 78.68505 56.26268 x 156.14787 166.48717 137.26004 192.55936 
116.47907 x x 84.20788 38.45909 137.82031 97.25366 41.75118 68.66551 85.04469 x 85.19317 x 70.80078 x x 104.54595 94.67795 101.65913 x x 77.62451 x 28.36463 90.79381 x x 101.4044 x 55.85121 x x 125.17503 100.73185 x 147.17477 x 81.61597 51.99409 x 42.05182 x 58.4047 48.49846 83.44521 30.43702 64.4553 73.83066 x x 52.59261 x x 59.22846 37.12133 86.24166 43.45431 x x 77.24705 98.12081 101.01046 x x 48.92522 106.3231 101.9806 x 52.44933 72.47085 x x 111.19544 110.5603 x x x x x 33.09757 x 27.62834 x x 136.78674 x x 53.78195 x x 50.67968 x 96.85068 61.95694 99.63474 x 92.36934 x 77.57426 75.73056 x 79.81805 x 103.98575 x x 79.73001 x 99.19862 89.03359 x 111.27407 63.50636 121.59096 151.39672 69.29372 x 53.11491 x 56.38103 x 34.75256 80.24365 132.92299 x 118.31408 76.6788 105.48453 111.37456 x x x 89.02405 122.12715 92.59216 6.83717 x x x 60.785 54.19625 62.29141 103.87099 x 78.24908 85.20642 x x x x 99.7812 x x x 82.62786 x 97.34005 74.99212 54.24431 x 71.84228 x x 147.40881 105.39963 x 63.21507 x 75.06195 x x x 88.88382 108.29964 x x x 73.39649 x 94.63265 x x x x x x x 67.03971 x 54.7978 x x 61.06668 x x 90.97965 x 140.87548 x x 
153.11025 x 37.4814 118.4674 57.45021 140.43141 90.36443 56.0267 x 120.31214 21.80716 64.06903 x 110.91253 x x 109.16778 131.39463 61.34731 x 59.44202 51.68752 120.78678 66.1193 x 95.50616 14.75677 140.68714 136.69894 87.84373 109.85881 115.57913 x 140.8978 62.29815 155.43707 21.28707 118.81637 60.8221 129.89521 x 158.80376 88.4203 87.74704 42.96549 42.63611 x 51.07714 121.72907 126.14442 x 54.14257 35.03988 20.18496 8.75515 100.60139 10.47173 86.2658 x 46.05318 60.7494 x 71.14649 28.6596 x x 137.79233 131.79997 87.13464 46.46531 77.97177 x x 150.54712 18.09036 70.01475 34.71498 89.39011 x x 83.43888 x x 98.2748 175.97992 112.50928 x 25.57994 89.31381 70.0688 74.15577 114.99593 101.85214 87.42824 x x 81.98881 118.60885 68.46013 x 134.80865 115.89963 49.33887 128.06752 x x 113.61157 148.8421 x x 109.62257 x 58.06248 83.29511 x 108.03582 45.60852 21.11206 104.61334 31.20608 149.54742 70.51032 x x 46.75321 x x x x 52.7979 x x 112.39102 x x 35.68507 x x x x 84.66878 54.05354 122.97815 87.04339 118.69343 x 104.36029 x 148.88903 135.49816 120.10967 x 74.71532 x 46.99121 x 107.69556 97.51201 x 39.41428 x 36.43764 148.43991 x 102.16469 79.88541 59.94196 x 50.2456 138.5271 45.60198 x x 73.67866 66.48287 x x x 58.58876 x x 104.05301 177.62761 x 55.79479 73.85324 98.58183 x 61.81021 x 36.89777 x 98.9747 68.09133 60.49491 90.81368 65.68119 148.03422 96.75903 83.53472 
x 162.68892 x 89.52962 66.63527 33.2792 31.40721 145.95955 x x 112.84237 x 153.7741 x 104.54595 109.16778 x 106.77112 146.10663 x 149.46165 78.25014 x x 194.41438 x 98.4879 x x 153.17219 x x 144.70243 x 133.41753 x x x x 85.71347 x x 157.40875 131.93927 131.11253 x 92.02307 72.76569 x x 87.79002 x 76.57882 x 115.41444 x x x x x x 142.08838 x x 59.71938 8.31325 105.71572 x x 79.35647 x 122.04783 x x x x x x 108.24955 x x x x 179.05278 x x 88.86052 x 66.57784 135.77914 154.2328 x x 163.88331 x x x 20.29185 174.93892 100.00012 x x x 58.07454 x 85.0022 170.53305 71.84499 x 137.74433 x x 162.30056 x x x 92.67994 x x 83.65703 x 88.27195 177.11916 144.94312 x x 175.34907 x 69.82833 x x x x 124.0431 x x x 49.58551 x x 72.48667 x 41.68949 x 130.30046 x x x x x x x 35.49839 x x x 201.87914 x x x x 140.35809 x x x 53.29099 x x x x x x x x x 87.91342 x x x x x x 158.59304 151.86063 147.55338 139.17888 x x x x x x x x x x 75.67897 x x x 
x 140.89417 105.62901 x x 129.89571 125.95634 123.00948 x 13.29171 116.22568 141.99554 x 61.14967 94.67795 131.39463 106.77112 x 191.62048 x x 143.76334 43.81562 x 146.39329 x 132.88175 x 12.47219 100.42943 70.50102 64.71637 208.17552 35.59997 99.65808 122.70234 118.25653 x 133.48902 x 67.52432 29.63749 x x x 118.93147 30.70894 137.46068 22.06601 139.97383 130.1824 x 123.60609 145.66487 130.50052 149.43246 x 195.94476 43.24806 x x 189.89466 187.87898 112.35773 x 114.26205 8.96224 136.63868 x 140.60777 164.15135 141.63158 171.63786 37.04843 x x 101.63787 165.14341 187.58827 x x 113.732 30.31516 130.62265 49.4011 x 66.06312 131.95083 157.88987 194.27738 116.00937 x x x x x x x 165.67295 x x x x x 46.34365 x x 61.89922 x 41.32923 x 181.20965 x x 133.19483 74.60967 x 134.64352 x x 117.92208 60.98461 x 42.56999 x 62.577 163.52754 x x 92.40425 170.77279 118.30191 55.56479 197.15968 28.14547 x x x x x x 114.38606 70.89657 x 40.91669 x x 106.38968 x 35.55631 x x 110.40348 74.79661 176.75588 x x 58.9716 x x x x 116.34095 x 123.29756 x 107.90993 x 140.75013 7.14256 x x x x 111.39489 167.45515 x 117.6225 100.96681 x x x x 64.79621 x x x 110.73292 x 62.52863 x x x x 72.60884 170.23557 151.53472 121.17594 109.45297 x 
